TRIP_ID,prompt
1306,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 28 minutes, costing 3120 CHF, with a headway of 10 minutes.
 - Train: travel time of 51 minutes, costing 3120 CHF, with a headway of 30 minutes."
1307,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 32 minutes, costing 4160 CHF, with a headway of 30 minutes.
 - Train: travel time of 61 minutes, costing 3120 CHF, with a headway of 60 minutes."
1308,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 30 minutes, costing 4160 CHF, with a headway of 20 minutes.
 - Train: travel time of 51 minutes, costing 2600 CHF, with a headway of 30 minutes."
1309,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 30 minutes, costing 3120 CHF, with a headway of 20 minutes.
 - Train: travel time of 61 minutes, costing 2340 CHF, with a headway of 60 minutes."
1310,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 28 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 54 minutes, costing 2340 CHF, with a headway of 120 minutes."
1311,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 32 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 51 minutes, costing 3120 CHF, with a headway of 120 minutes."
1312,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 32 minutes, costing 3380 CHF, with a headway of 30 minutes.
 - Train: travel time of 51 minutes, costing 2340 CHF, with a headway of 30 minutes."
1313,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 28 minutes, costing 3380 CHF, with a headway of 10 minutes.
 - Train: travel time of 61 minutes, costing 2600 CHF, with a headway of 60 minutes."
1314,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 57 minutes, costing 3380 CHF, with a headway of 20 minutes.
 - Train: travel time of 133 minutes, costing 3120 CHF, with a headway of 120 minutes."
1315,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 52 minutes, costing 3120 CHF, with a headway of 10 minutes.
 - Train: travel time of 122 minutes, costing 3120 CHF, with a headway of 30 minutes."
1316,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 63 minutes, costing 4160 CHF, with a headway of 30 minutes.
 - Train: travel time of 154 minutes, costing 3120 CHF, with a headway of 60 minutes."
1317,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 57 minutes, costing 4160 CHF, with a headway of 20 minutes.
 - Train: travel time of 122 minutes, costing 2600 CHF, with a headway of 30 minutes."
1318,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 57 minutes, costing 3120 CHF, with a headway of 20 minutes.
 - Train: travel time of 154 minutes, costing 2340 CHF, with a headway of 60 minutes."
1319,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 52 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 133 minutes, costing 2340 CHF, with a headway of 120 minutes."
1320,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 63 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 122 minutes, costing 3120 CHF, with a headway of 120 minutes."
1321,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 63 minutes, costing 3380 CHF, with a headway of 30 minutes.
 - Train: travel time of 122 minutes, costing 2340 CHF, with a headway of 30 minutes."
1322,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 52 minutes, costing 3380 CHF, with a headway of 10 minutes.
 - Train: travel time of 154 minutes, costing 2600 CHF, with a headway of 60 minutes."
1323,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 31 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Train: travel time of 103 minutes, costing 3120 CHF, with a headway of 120 minutes.
 - Car: travel time of 60 minutes, costing 40 CHF."
1324,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 34 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Train: travel time of 82 minutes, costing 2340 CHF, with a headway of 120 minutes.
 - Car: travel time of 78 minutes, costing 32 CHF."
1325,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 38 minutes, costing 3380 CHF, with a headway of 20 minutes.
 - Train: travel time of 103 minutes, costing 2340 CHF, with a headway of 120 minutes.
 - Car: travel time of 48 minutes, costing 32 CHF."
1326,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 38 minutes, costing 3380 CHF, with a headway of 10 minutes.
 - Train: travel time of 89 minutes, costing 2340 CHF, with a headway of 60 minutes.
 - Car: travel time of 78 minutes, costing 52 CHF."
1327,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 38 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Train: travel time of 89 minutes, costing 2600 CHF, with a headway of 120 minutes.
 - Car: travel time of 48 minutes, costing 52 CHF."
1328,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 38 minutes, costing 3120 CHF, with a headway of 20 minutes.
 - Train: travel time of 82 minutes, costing 2600 CHF, with a headway of 60 minutes.
 - Car: travel time of 78 minutes, costing 40 CHF."
1329,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 34 minutes, costing 3380 CHF, with a headway of 10 minutes.
 - Train: travel time of 82 minutes, costing 3120 CHF, with a headway of 60 minutes.
 - Car: travel time of 60 minutes, costing 32 CHF."
1330,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 31 minutes, costing 3380 CHF, with a headway of 20 minutes.
 - Train: travel time of 82 minutes, costing 2600 CHF, with a headway of 120 minutes.
 - Car: travel time of 60 minutes, costing 52 CHF."
1331,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 38 minutes, costing 4160 CHF, with a headway of 20 minutes.
 - Train: travel time of 89 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Car: travel time of 60 minutes, costing 52 CHF."
1332,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 32 minutes, costing 3120 CHF, with a headway of 10 minutes.
 - Train: travel time of 61 minutes, costing 2600 CHF, with a headway of 30 minutes.
 - Car: travel time of 40 minutes, costing 20 CHF."
1333,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 28 minutes, costing 4160 CHF, with a headway of 20 minutes.
 - Train: travel time of 61 minutes, costing 2340 CHF, with a headway of 30 minutes.
 - Car: travel time of 52 minutes, costing 25 CHF."
1334,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 30 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 61 minutes, costing 2600 CHF, with a headway of 120 minutes.
 - Car: travel time of 52 minutes, costing 32 CHF."
1335,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 28 minutes, costing 4160 CHF, with a headway of 30 minutes.
 - Train: travel time of 51 minutes, costing 2340 CHF, with a headway of 60 minutes.
 - Car: travel time of 32 minutes, costing 32 CHF."
1336,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 28 minutes, costing 3380 CHF, with a headway of 30 minutes.
 - Train: travel time of 54 minutes, costing 2600 CHF, with a headway of 30 minutes.
 - Car: travel time of 52 minutes, costing 20 CHF."
1337,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 28 minutes, costing 3120 CHF, with a headway of 20 minutes.
 - Train: travel time of 54 minutes, costing 3120 CHF, with a headway of 60 minutes.
 - Car: travel time of 32 minutes, costing 20 CHF."
1338,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 30 minutes, costing 3120 CHF, with a headway of 10 minutes.
 - Train: travel time of 54 minutes, costing 2340 CHF, with a headway of 30 minutes.
 - Car: travel time of 32 minutes, costing 25 CHF."
1339,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 30 minutes, costing 4160 CHF, with a headway of 30 minutes.
 - Train: travel time of 54 minutes, costing 2600 CHF, with a headway of 60 minutes.
 - Car: travel time of 40 minutes, costing 25 CHF."
1340,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 30 minutes, costing 3380 CHF, with a headway of 30 minutes.
 - Train: travel time of 61 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Car: travel time of 32 minutes, costing 32 CHF."
1341,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 27 minutes, costing 3380 CHF, with a headway of 20 minutes.
 - Train: travel time of 82 minutes, costing 3120 CHF, with a headway of 120 minutes.
 - Car: travel time of 117 minutes, costing 100 CHF."
1342,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 24 minutes, costing 3120 CHF, with a headway of 10 minutes.
 - Train: travel time of 75 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Car: travel time of 117 minutes, costing 130 CHF."
1343,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 31 minutes, costing 4160 CHF, with a headway of 30 minutes.
 - Train: travel time of 96 minutes, costing 3120 CHF, with a headway of 60 minutes.
 - Car: travel time of 117 minutes, costing 80 CHF."
1344,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 27 minutes, costing 4160 CHF, with a headway of 20 minutes.
 - Train: travel time of 75 minutes, costing 2600 CHF, with a headway of 30 minutes.
 - Car: travel time of 72 minutes, costing 80 CHF."
1345,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 27 minutes, costing 3120 CHF, with a headway of 20 minutes.
 - Train: travel time of 96 minutes, costing 2340 CHF, with a headway of 60 minutes.
 - Car: travel time of 90 minutes, costing 130 CHF."
1346,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 24 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 82 minutes, costing 2340 CHF, with a headway of 120 minutes.
 - Car: travel time of 90 minutes, costing 80 CHF."
1347,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 31 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 75 minutes, costing 3120 CHF, with a headway of 120 minutes.
 - Car: travel time of 72 minutes, costing 100 CHF."
1348,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 31 minutes, costing 3380 CHF, with a headway of 30 minutes.
 - Train: travel time of 75 minutes, costing 2340 CHF, with a headway of 30 minutes.
 - Car: travel time of 90 minutes, costing 100 CHF."
1349,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 24 minutes, costing 3380 CHF, with a headway of 10 minutes.
 - Train: travel time of 96 minutes, costing 2600 CHF, with a headway of 60 minutes.
 - Car: travel time of 72 minutes, costing 100 CHF."
1350,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 31 minutes, costing 3380 CHF, with a headway of 20 minutes.
 - Train: travel time of 55 minutes, costing 3120 CHF, with a headway of 120 minutes.
 - Car: travel time of 52 minutes, costing 35 CHF."
1351,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 33 minutes, costing 4160 CHF, with a headway of 30 minutes.
 - Train: travel time of 62 minutes, costing 3120 CHF, with a headway of 60 minutes.
 - Car: travel time of 52 minutes, costing 28 CHF."
1352,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 29 minutes, costing 3120 CHF, with a headway of 10 minutes.
 - Train: travel time of 52 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Car: travel time of 52 minutes, costing 45 CHF."
1353,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 31 minutes, costing 4160 CHF, with a headway of 20 minutes.
 - Train: travel time of 52 minutes, costing 2600 CHF, with a headway of 30 minutes.
 - Car: travel time of 32 minutes, costing 28 CHF."
1354,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 31 minutes, costing 3120 CHF, with a headway of 20 minutes.
 - Train: travel time of 62 minutes, costing 2340 CHF, with a headway of 60 minutes.
 - Car: travel time of 40 minutes, costing 45 CHF."
1355,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 33 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 52 minutes, costing 3120 CHF, with a headway of 120 minutes.
 - Car: travel time of 32 minutes, costing 35 CHF."
1356,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 29 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 55 minutes, costing 2340 CHF, with a headway of 120 minutes.
 - Car: travel time of 40 minutes, costing 28 CHF."
1357,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 29 minutes, costing 3380 CHF, with a headway of 10 minutes.
 - Train: travel time of 62 minutes, costing 2600 CHF, with a headway of 60 minutes.
 - Car: travel time of 32 minutes, costing 35 CHF."
1358,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 33 minutes, costing 3380 CHF, with a headway of 30 minutes.
 - Train: travel time of 52 minutes, costing 2340 CHF, with a headway of 30 minutes.
 - Car: travel time of 40 minutes, costing 35 CHF."
1359,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Vaud.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 55 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Train: travel time of 92 minutes, costing 3120 CHF, with a headway of 120 minutes.
 - Car: travel time of 60 minutes, costing 40 CHF."
1360,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Vaud.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 59 minutes, costing 3380 CHF, with a headway of 20 minutes.
 - Train: travel time of 92 minutes, costing 2340 CHF, with a headway of 120 minutes.
 - Car: travel time of 48 minutes, costing 32 CHF."
1361,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Vaud.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 57 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Train: travel time of 75 minutes, costing 2340 CHF, with a headway of 120 minutes.
 - Car: travel time of 78 minutes, costing 32 CHF."
1362,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Vaud.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 59 minutes, costing 3380 CHF, with a headway of 10 minutes.
 - Train: travel time of 81 minutes, costing 2340 CHF, with a headway of 60 minutes.
 - Car: travel time of 78 minutes, costing 52 CHF."
1363,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Vaud.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 59 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Train: travel time of 81 minutes, costing 2600 CHF, with a headway of 120 minutes.
 - Car: travel time of 48 minutes, costing 52 CHF."
1364,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Vaud.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 57 minutes, costing 3380 CHF, with a headway of 10 minutes.
 - Train: travel time of 75 minutes, costing 3120 CHF, with a headway of 60 minutes.
 - Car: travel time of 60 minutes, costing 32 CHF."
1365,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Vaud.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 59 minutes, costing 3120 CHF, with a headway of 20 minutes.
 - Train: travel time of 75 minutes, costing 2600 CHF, with a headway of 60 minutes.
 - Car: travel time of 78 minutes, costing 40 CHF."
1366,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Vaud.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 59 minutes, costing 4160 CHF, with a headway of 20 minutes.
 - Train: travel time of 81 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Car: travel time of 60 minutes, costing 52 CHF."
1367,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Vaud.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 55 minutes, costing 3380 CHF, with a headway of 20 minutes.
 - Train: travel time of 75 minutes, costing 2600 CHF, with a headway of 120 minutes.
 - Car: travel time of 60 minutes, costing 52 CHF."
1368,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Geneva.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 74 minutes, costing 3380 CHF, with a headway of 20 minutes.
 - Train: travel time of 150 minutes, costing 3120 CHF, with a headway of 120 minutes.
 - Car: travel time of 156 minutes, costing 50 CHF."
1369,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Geneva.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 69 minutes, costing 3120 CHF, with a headway of 10 minutes.
 - Train: travel time of 139 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Car: travel time of 156 minutes, costing 65 CHF."
1370,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Geneva.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 80 minutes, costing 4160 CHF, with a headway of 30 minutes.
 - Train: travel time of 171 minutes, costing 3120 CHF, with a headway of 60 minutes.
 - Car: travel time of 156 minutes, costing 40 CHF."
1371,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Geneva.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 74 minutes, costing 4160 CHF, with a headway of 20 minutes.
 - Train: travel time of 139 minutes, costing 2600 CHF, with a headway of 30 minutes.
 - Car: travel time of 96 minutes, costing 40 CHF."
1372,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Geneva.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 74 minutes, costing 3120 CHF, with a headway of 20 minutes.
 - Train: travel time of 171 minutes, costing 2340 CHF, with a headway of 60 minutes.
 - Car: travel time of 120 minutes, costing 65 CHF."
1373,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Geneva.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 69 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 150 minutes, costing 2340 CHF, with a headway of 120 minutes.
 - Car: travel time of 120 minutes, costing 40 CHF."
1374,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Geneva.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 80 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 139 minutes, costing 3120 CHF, with a headway of 120 minutes.
 - Car: travel time of 96 minutes, costing 50 CHF."
1375,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Geneva.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 80 minutes, costing 3380 CHF, with a headway of 30 minutes.
 - Train: travel time of 139 minutes, costing 2340 CHF, with a headway of 30 minutes.
 - Car: travel time of 120 minutes, costing 50 CHF."
1376,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by employers.
Origin: Geneva.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 69 minutes, costing 3380 CHF, with a headway of 10 minutes.
 - Train: travel time of 171 minutes, costing 2600 CHF, with a headway of 60 minutes.
 - Car: travel time of 96 minutes, costing 50 CHF."
1377,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by half-half.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 22 minutes, costing 3120 CHF, with a headway of 10 minutes.
 - Train: travel time of 51 minutes, costing 2600 CHF, with a headway of 30 minutes.
 - Car: travel time of 50 minutes, costing 20 CHF."
1378,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by half-half.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 18 minutes, costing 4160 CHF, with a headway of 20 minutes.
 - Train: travel time of 51 minutes, costing 2340 CHF, with a headway of 30 minutes.
 - Car: travel time of 65 minutes, costing 25 CHF."
1379,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by half-half.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 20 minutes, costing 4160 CHF, with a headway of 10 minutes.
 - Train: travel time of 51 minutes, costing 2600 CHF, with a headway of 120 minutes.
 - Car: travel time of 65 minutes, costing 32 CHF."
1380,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by half-half.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 18 minutes, costing 4160 CHF, with a headway of 30 minutes.
 - Train: travel time of 41 minutes, costing 2340 CHF, with a headway of 60 minutes.
 - Car: travel time of 40 minutes, costing 32 CHF."
1381,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by half-half.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 18 minutes, costing 3380 CHF, with a headway of 30 minutes.
 - Train: travel time of 44 minutes, costing 2600 CHF, with a headway of 30 minutes.
 - Car: travel time of 65 minutes, costing 20 CHF."
1382,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by half-half.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 18 minutes, costing 3120 CHF, with a headway of 20 minutes.
 - Train: travel time of 44 minutes, costing 3120 CHF, with a headway of 60 minutes.
 - Car: travel time of 40 minutes, costing 20 CHF."
1383,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by half-half.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 20 minutes, costing 3120 CHF, with a headway of 10 minutes.
 - Train: travel time of 44 minutes, costing 2340 CHF, with a headway of 30 minutes.
 - Car: travel time of 40 minutes, costing 25 CHF."
1384,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by half-half.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 20 minutes, costing 4160 CHF, with a headway of 30 minutes.
 - Train: travel time of 44 minutes, costing 2600 CHF, with a headway of 60 minutes.
 - Car: travel time of 50 minutes, costing 25 CHF."
1385,"Trip Purpose: shopping.
Luggage: none of luggage.
Payment Method: paid by half-half.
Origin: Geneva.
Destination: Vaud.
Available Transportation Options:
 - Swissmetro: travel time of 20 minutes, costing 3380 CHF, with a headway of 30 minutes.
 - Train: travel time of 51 minutes, costing 3120 CHF, with a headway of 30 minutes.
 - Car: travel time of 40 minutes, costing 32 CHF."
